entity_key,canonical_name,motif_key,motif_type,subtype,cooccurrence_count
person_qingwen,晴雯,motif_flower,花木,泛花,8
person_qingwen,晴雯,motif_tears,情感身體,哭泣,8
person_wang_xifeng,王熙鳳,motif_book,文藝,書,8
person_qiuwen,秋紋,motif_purple,顏色,紫色,8
person_xue_baochai,薛寶釵,motif_tea,飲食,茶,8
person_xue_baochai,薛寶釵,motif_wind,自然,風,8
person_xiren,襲人,motif_wine,飲食,酒,8
person_jia_baoyu,賈寶玉,motif_willow,花木,柳,8
person_jia_lian,賈璉,motif_illness,身體,疾病,8
person_jia_rong,賈蓉,motif_jade,物象,玉石,8
person_jia_lan,賈蘭,motif_book,文藝,書,8
person_xiangling,香菱,motif_illness,身體,疾病,8
person_xiangling,香菱,motif_red,顏色,紅色,8
person_yuanyang,鴛鴦,motif_white,顏色,白色,8
person_shishu,侍書,motif_purple,顏色,紫色,7
person_shishu,侍書,motif_snow,自然,雪,7
person_liu_laolao,劉姥姥,motif_flower,花木,泛花,7
person_shi_xiangyun,史湘雲,motif_red,顏色,紅色,7
person_you_shi,尤氏,motif_tea,飲食,茶,7
person_you_shi,尤氏,motif_tears,情感身體,哭泣,7
person_ping_er,平兒,motif_book,文藝,書,7
person_ping_er,平兒,motif_gold,物象,金,7
person_ping_er,平兒,motif_tears,情感身體,眼淚,7
person_li_wan,李紈,motif_moon,自然,月,7
person_li_wan,李紈,motif_tears,情感身體,哭泣,7
person_wang_furen,王夫人,motif_tea,飲食,茶,7
person_zijuan,紫鵑,motif_fragrance,感官,香氣,7
person_xue_yima,薛姨媽,motif_lotus,花木,蓮,7
person_xiren,襲人,motif_gold,物象,金,7
person_xiren,襲人,motif_medicine,身體,藥,7
person_xiren,襲人,motif_poetry,文藝,詩,7
person_jia_baoyu,賈寶玉,motif_rain,自然,雨,7
person_jia_tanchun,賈探春,motif_fragrance,感官,香氣,7
person_jia_tanchun,賈探春,motif_purple,顏色,紫色,7
person_jia_tanchun,賈探春,motif_red,顏色,紅色,7
person_jia_zheng,賈政,motif_gold,物象,金,7
person_jia_lian,賈璉,motif_lotus,花木,蓮,7
person_jia_lian,賈璉,motif_moon,自然,月,7
person_jia_yingchun,賈迎春,motif_fragrance,感官,香氣,7
person_zhao_yiniang,趙姨娘,motif_jade,物象,玉石,7
person_xueyan,雪雁,motif_white,顏色,白色,7
person_xiangling,香菱,motif_book,文藝,書,7
person_yuanyang,鴛鴦,motif_gold,物象,金,7
person_yuanyang,鴛鴦,motif_wine,飲食,酒,7
person_shishu,侍書,motif_jade,物象,玉石,6
person_shi_xiangyun,史湘雲,motif_illness,身體,疾病,6
person_shi_xiangyun,史湘雲,motif_stone,物象,石,6
person_zhou_rui_jia,周瑞家的,motif_flower,花木,泛花,6
person_zhou_rui_jia,周瑞家的,motif_gold,物象,金,6
person_zhou_rui_jia,周瑞家的,motif_tea,飲食,茶,6
person_you_sanjie,尤三姐,motif_lotus,花木,蓮,6
person_ping_er,平兒,motif_white,顏色,白色,6
person_qingwen,晴雯,motif_hibiscus,花木,芙蓉,6
person_qingwen,晴雯,motif_medicine,身體,藥,6
person_li_wan,李紈,motif_poetry,文藝,詩,6
person_wang_furen,王夫人,motif_white,顏色,白色,6
person_wang_xifeng,王熙鳳,motif_snow,自然,雪,6
person_zhen_shiyin,甄士隱,motif_book,文藝,書,6
person_zijuan,紫鵑,motif_red,顏色,紅色,6
person_xue_yima,薛姨媽,motif_red,顏色,紅色,6
person_xue_yima,薛姨媽,motif_tea,飲食,茶,6
person_xue_baochai,薛寶釵,motif_dream,夢幻,夢,6
person_jia_baoyu,賈寶玉,motif_lotus,花木,蓮,6
person_jia_xichun,賈惜春,motif_fragrance,感官,香氣,6
person_jia_tanchun,賈探春,motif_illness,身體,疾病,6
person_jia_tanchun,賈探春,motif_tea,飲食,茶,6
person_jia_tanchun,賈探春,motif_tears,情感身體,哭泣,6
person_jia_zheng,賈政,motif_flower,花木,泛花,6
person_jia_zheng,賈政,motif_moon,自然,月,6
person_jia_zheng,賈政,motif_rain,自然,雨,6
person_jia_zheng,賈政,motif_tea,飲食,茶,6
person_jia_mu,賈母,motif_stone,物象,石,6
person_jia_zhen,賈珍,motif_flower,花木,泛花,6
person_jia_zhen,賈珍,motif_illness,身體,疾病,6
person_jia_zhen,賈珍,motif_moon,自然,月,6
person_jia_lian,賈璉,motif_gold,物象,金,6
person_jia_lian,賈璉,motif_white,顏色,白色,6
person_jia_rong,賈蓉,motif_tears,情感身體,哭泣,6
person_jia_yingchun,賈迎春,motif_book,文藝,書,6
person_jia_yingchun,賈迎春,motif_tears,情感身體,眼淚,6
person_yuanyang,鴛鴦,motif_lotus,花木,蓮,6
person_ying_er,鶯兒,motif_book,文藝,書,6
person_ying_er,鶯兒,motif_purple,顏色,紫色,6
person_she_yue,麝月,motif_book,文藝,書,6
person_she_yue,麝月,motif_illness,身體,疾病,6
person_she_yue,麝月,motif_red,顏色,紅色,6
person_leng_zixing,冷子興,motif_rain,自然,雨,5
person_liu_laolao,劉姥姥,motif_stone,物象,石,5
person_shi_xiangyun,史湘雲,motif_tea,飲食,茶,5
person_siqi,司棋,motif_book,文藝,書,5
person_miaoyu,妙玉,motif_red,顏色,紅色,5
person_you_sanjie,尤三姐,motif_willow,花木,柳,5
person_you_erjie,尤二姐,motif_tears,情感身體,眼淚,5
person_you_shi,尤氏,motif_gold,物象,金,5
person_ping_er,平兒,motif_green_blue,顏色,青色,5
person_ping_er,平兒,motif_medicine,身體,藥,5
person_ping_er,平兒,motif_snow,自然,雪,5
person_qingwen,晴雯,motif_book,文藝,書,5
person_li_wan,李紈,motif_illness,身體,疾病,5
person_lin_daiyu,林黛玉,motif_stone,物象,石,5
person_wang_furen,王夫人,motif_flower,花木,泛花,5
person_wang_furen,王夫人,motif_rain,自然,雨,5
person_wang_xifeng,王熙鳳,motif_green_blue,顏色,青色,5
person_xue_yima,薛姨媽,motif_flower,花木,泛花,5
person_xue_baochai,薛寶釵,motif_green_blue,顏色,青色,5
person_xue_baochai,薛寶釵,motif_purple,顏色,紫色,5
person_jia_yuanchun,賈元春,motif_moon,自然,月,5
person_jia_yuanchun,賈元春,motif_tears,情感身體,眼淚,5
person_jia_baoyu,賈寶玉,motif_bamboo,花木,竹,5
person_jia_baoyu,賈寶玉,motif_haitang,花木,海棠,5
person_jia_xichun,賈惜春,motif_red,顏色,紅色,5
person_jia_tanchun,賈探春,motif_moon,自然,月,5
person_jia_tanchun,賈探春,motif_poetry,文藝,詩,5
person_jia_tanchun,賈探春,motif_wind,自然,風,5
person_jia_tanchun,賈探春,motif_wine,飲食,酒,5
